Designator,Mid X,Mid Y,Layer,Rotation
C1,31.700000mm,-13.200000mm,Bottom,0.000000
C2,24.700000mm,-13.600000mm,Bottom,-90.000000
C3,28.000000mm,-15.000000mm,Bottom,0.000000
C4,7.000000mm,-9.000000mm,Bottom,0.000000
C5,31.400000mm,-7.300000mm,Bottom,90.000000
C6,24.300000mm,-9.750000mm,Bottom,180.000000
C7,31.300000mm,-31.500000mm,Bottom,90.000000
C9,20.200000mm,-10.300000mm,Bottom,-90.000000
C10,17.300000mm,-26.700000mm,Bottom,90.000000
C11,6.000000mm,-32.500000mm,Bottom,0.000000
C12,37.000000mm,-36.500000mm,Bottom,0.000000
C13,32.000000mm,-4.700000mm,Bottom,0.000000
C20,15.700000mm,-15.200000mm,Bottom,180.000000
C28,22.500000mm,-13.500000mm,Bottom,90.000000
C29,30.800000mm,-17.100000mm,Bottom,180.000000
C30,25.700000mm,-50.500000mm,Bottom,-90.000000
C31,17.300000mm,-29.800000mm,Bottom,90.000000
C32,22.500000mm,-33.400000mm,Bottom,0.000000
C33,29.600000mm,-30.600000mm,Bottom,-90.000000
C34,27.500000mm,-20.600000mm,Bottom,0.000000
C35,17.300000mm,-23.600000mm,Bottom,90.000000
C36,25.700000mm,-47.300000mm,Bottom,90.000000
C38,39.800000mm,-18.400000mm,Bottom,0.000000
C39,32.000000mm,-23.300000mm,Bottom,0.000000
D1,36.000000mm,-19.600000mm,Bottom,0.000000
D2,31.800000mm,-27.000000mm,Bottom,180.000000
J1,38.900000mm,-27.000000mm,Bottom,-90.000000
J2,4.000000mm,-23.000000mm,Bottom,-90.000000
Q1,5.500000mm,-17.000000mm,Bottom,0.000000
Q2,9.500000mm,-17.000000mm,Bottom,180.000000
Q3,15.000000mm,-18.000000mm,Bottom,0.000000
Q4,19.000000mm,-18.000000mm,Bottom,0.000000
R1,35.000000mm,-16.500000mm,Bottom,0.000000
R2,38.500000mm,-16.500000mm,Bottom,0.000000
R3,31.500000mm,-10.900000mm,Bottom,0.000000
R4,35.200000mm,-14.500000mm,Bottom,0.000000
R5,34.800000mm,-10.800000mm,Bottom,0.000000
R6,29.600000mm,-23.300000mm,Bottom,90.000000
R7,4.000000mm,-12.000000mm,Bottom,90.000000
R8,10.000000mm,-12.000000mm,Bottom,90.000000
R9,12.400000mm,-14.600000mm,Bottom,90.000000
R10,11.600000mm,-7.000000mm,Bottom,90.000000
R11,12.000000mm,-2.200000mm,Bottom,0.000000
R12,16.000000mm,-6.200000mm,Bottom,0.000000
R13,20.000000mm,-2.200000mm,Bottom,0.000000
R14,14.000000mm,-21.500000mm,Bottom,0.000000
R15,18.000000mm,-20.700000mm,Bottom,0.000000
R16,15.000000mm,-24.000000mm,Bottom,90.000000
R17,6.000000mm,-35.000000mm,Bottom,0.000000
R18,34.200000mm,-33.600000mm,Bottom,0.000000
R19,35.000000mm,-8.000000mm,Bottom,0.000000
R24,15.700000mm,-12.100000mm,Bottom,0.000000
R25,22.200000mm,-6.700000mm,Bottom,90.000000
R29,23.000000mm,-17.000000mm,Bottom,90.000000
R30,26.100000mm,-7.850000mm,Bottom,0.000000
R31,26.100000mm,-6.200000mm,Bottom,180.000000
R32,18.000000mm,-49.900000mm,Bottom,0.000000
R33,21.500000mm,-49.900000mm,Bottom,0.000000
SW3,35.000000mm,-48.000000mm,Bottom,0.000000
U1,23.500000mm,-27.000000mm,Bottom,0.000000
U2,28.000000mm,-12.000000mm,Bottom,0.000000
U3,29.000000mm,-7.300000mm,Bottom,0.000000
U4,7.000000mm,-12.000000mm,Bottom,0.000000
U5,16.000000mm,-9.000000mm,Bottom,0.000000
U6,19.500000mm,-14.000000mm,Bottom,0.000000
U7,27.000000mm,-18.000000mm,Bottom,0.000000
U8,21.000000mm,-46.000000mm,Bottom,0.000000
